500
818	132
727	-24
815	41
820	531
944	789
-261	882
327	-959
-682	-292
-40	567
316	529
148	528
63	-338
-932	-514
887	-140
-968	113
375	904
-987	658
122	425
-226	483
-374	130
59	489
720	246
523	971
-286	-144
741	-201
-57	611
-274	998
-525	-845
-146	-260
309	877
215	-439
398	956
377	-923
-817	780
478	-136
835	-249
231	-150
-451	796
-169	-526
855	-980
301	623
-428	741
517	589
-509	364
591	-269
165	854
-339	-544
-382	197
608	329
877	714
408	-938
29	558
359	268
192	-753
305	-485
211	191
-196	555
310	41
-304	-889
739	499
831	-56
214	781
-866	721
-385	-419
-838	400
438	976
-592	-311
607	-22
862	106
-225	57
92	-312
-516	472
-679	107
877	188
-806	568
644	456
-435	-193
323	-113
807	-24
961	-956
367	-26
-297	498
202	-424
-555	895
179	-793
271	-794
-757	-310
-230	-76
687	368
-749	-481
-208	-683
-898	-198
-169	880
-126	649
971	-610
48	-29
92	-377
708	-944
-201	776
303	-661
337	-746
294	15
-251	-184
-159	26
-56	195
-724	348
952	-543
-715	-405
208	-201
-544	129
79	-759
-517	811
28	254
117	96
-414	-601
947	-266
-832	-530
-798	101
-753	757
-707	-754
-831	0
-708	-872
-512	497
-262	824
-189	341
-459	924
6	907
-682	-966
-406	617
-936	-168
932	808
523	-18
-747	564
-881	-613
-342	829
-486	304
-789	8
-404	107
-210	-184
-578	664
-669	-948
700	688
-516	-756
-948	147
71	738
929	1
801	-57
529	399
502	972
-643	592
204	-274
-835	-652
-476	-288
376	-218
-887	-614
-796	-322
54	-215
781	983
-87	-315
869	471
652	39
-197	162
223	-814
502	181
-739	-945
-422	155
514	13
-445	355
335	185
-731	-975
-57	104
958	-232
650	-213
346	1000
317	745
-552	949
749	-721
-92	20
-34	215
-484	299
-122	-547
747	-566
435	767
920	-582
914	-927
313	475
-291	-31
454	-155
-987	-388
-688	771
-718	-165
622	-450
735	-75
900	-732
282	309
643	299
-121	-126
269	224
-894	198
-532	-936
-844	633
886	-866
416	285
582	999
-436	-681
290	-521
911	-552
180	253
-147	-847
421	505
269	-920
924	-809
124	-508
416	-238
-564	-371
-288	-566
711	-181
87	805
178	-653
-550	-117
344	271
-745	423
292	604
-974	813
-460	-572
-507	-711
195	-327
121	697
69	-373
686	-131
-560	-688
-342	-689
779	416
865	606
-859	142
586	-691
-632	-726
-105	-296
569	823
-798	842
-111	-948
750	552
-757	123
984	-926
-490	29
289	175
243	850
-186	521
460	73
-258	-933
-818	-598
134	240
-514	-4
-731	-125
-894	671
-903	-124
-206	53
487	131
-719	-806
-155	-229
-800	574
-822	-123
-372	966
-669	132
895	461
185	542
920	568
-296	-473
-354	-796
965	64
-404	-284
116	-787
319	834
915	922
-170	-533
-258	-176
306	-1000
-924	-236
244	-54
-316	964
-76	514
-724	-381
-371	33
-492	483
123	-993
329	-502
513	430
310	-593
741	-172
-941	548
-127	696
492	-606
-67	280
-371	-66
173	151
257	725
-750	-754
-251	157
17	-987
-517	789
-781	-983
-393	-13
11	-605
-6	242
657	-876
-92	-675
806	-408
-627	360
-140	762
383	-503
-785	18
-905	-897
815	280
434	66
250	-338
481	-40
395	722
-824	871
-990	-866
884	-511
497	-768
310	-725
-215	143
-423	353
951	358
-204	-935
-149	-949
715	676
-154	-383
750	803
565	742
-641	-506
964	-843
997	-691
698	379
-763	759
642	111
232	-358
729	813
955	835
-684	512
577	541
894	-793
250	-184
-821	-894
-110	-276
722	157
442	428
-921	-873
-409	533
-916	20
410	-179
741	760
-151	-913
475	-786
-67	-657
993	-636
665	916
161	-34
323	-338
-342	-208
-445	85
930	-327
546	-424
849	-189
-778	-400
-127	974
20	-116
944	797
-160	411
-232	-101
543	-16
-439	-591
-346	-296
-23	-554
-432	630
293	-477
624	605
571	232
-84	-60
520	565
-440	454
-127	438
-620	516
287	-220
-32	-946
557	656
870	-918
608	258
-646	518
-854	286
303	-426
30	206
586	535
312	16
314	-503
437	-407
-81	-260
557	-977
731	409
-738	665
499	431
360	947
901	-604
68	-868
-621	-278
-961	625
-257	-640
-93	679
-404	526
-351	-837
618	-405
-6	689
-8	-874
203	630
-955	124
-802	917
251	-854
853	582
-877	-442
-670	809
-534	-230
-517	957
528	156
176	96
844	-287
-654	-975
519	890
-441	965
208	840
-813	459
-315	-276
557	1
-126	-472
-401	412
-684	694
211	-504
-180	65
-37	-70
151	-820
513	-755
453	-600
-349	303
-745	-965
514	-995
-145	515
-763	-519
800	202
-227	-415
-716	822
-768	-165
637	-303
-501	519
-589	-461
-889	-746
419	-871
472	-767
762	-397
290	907
9	774
470	755
-477	-903
146	-659
584	-313
-408	332
-310	363
79	349
165	-549
-775	-125
429	176
-988	-264
912	915
375	-286
444	482
-704	-779
803	786
802	870
690	-923
5	-950
743	121
864	105
-622	-430
-808	726
-463	874
-647	-261
-109	-451
431	382
769	-267
-240	-82
-720	-976
930	-411
-766	50
529	-781
-118	322
329	305
-359	651
-344	819
661	948
-854	-622
-849	461
